Output,Input,Call,mNemonic,Location,Service Area,Latitude,Longitude,S,ERP,HASL,T/O,Sp,Tone,Notes
146.7000,146.1000,VK4RAR,-,Mt Archer,Rockhampton,-23.337255,150.576557,O,50,608,4,4WIR,91.5,49
146.7000,146.1000,VK4RAT,-,Mt Stuart,Townsville,-19.343838,146.780685,O,50,584,10,4WIT,-,
146.7000,146.1000,VK4RGC,-,Springbrook,Gold Coast,-28.231694,153.266325,O,150,1010,4,4WIG,123,48
146.7000,146.1000,VK4RMI,-,Four Mile Hill,Mount Isa,-20.712737,139.558311,O,20,500,3.5,4RMI,-,
146.7250,146.1250,VK4RCM,GymSth,Mt Boulder,Gympie Southern,-26.252528,152.805384,O,20,505,4,4GYM,91.5,
146.7250,146.1250,VK4RKP,-,Mt Crosby,Ipswich,-27.527452,152.797919,O,20,-,-,4AKP,-,
146.7500,146.1500,VK4RDD,-,O'Rourke's House,Toowoomba,-27.691258,151.991884,O,35,702,4,4WID,91.5,
146.7750,146.1750,VK4RBM,-,Blue Mtn,Mackay,-21.600646,148.967883,O,25,400,4,4WIM,91.5,42
146.7750,146.1750,VK4RGN,GymNth,Mt Kanigan,Gympie Northern,-25.960469,152.575327,O,25,366,4,4GYM,91.5,
146.8000,146.2000,VK4RBU,MtGoon,Mt Goonaneman,Bundaberg/Maryborough,-25.433093,152.122131,O,20,620,4,4BW,-,44
146.8000,146.2000,VK4RMP,-,Midge Point,Proserpine,-20.647622,148.676631,O,-,-,-,4RM,-,49
146.8250,146.2250,VK4RCR,-,Braeside,Warwick/Stanthorpe,-28.390881,151.925221,O,60,916,5,4AGJ,91.5,115
146.8250,146.2250,VK4RSL,-,Noosa Heads,Sunshine Coast North,-26.389268,153.097528,O,25,100,4.5,4WIS,91.5,45
146.8250,146.2250,VK4RSP,-,Roddas Lookout,Springsure,-24.142374,148.154222,O,100,-,-,4WCH,-,49
146.8500,146.2500,VK4RSC,-,Wilkes Knob,Sunshine Coast South,-26.778175,152.912493,O,15,470,4.5,4WIS,91.5,45
146.8500,146.2500,VK4RSD,-,Malanda,Sth Atherton Tablelands,-17.36186,145.636904,O,50,730,3,4SDD,-,112
146.8750,146.2750,VK4RAS,-,Carborough Range,Moranbah,-21.920748,148.312728,O,50,450,3,4WCH,-,49
146.8750,146.2750,VK4RBS,-,Alexandra Hills,Redlands 10/21,?,?,U,25,70,3.5,4BAY,-,
146.9000,146.3000,VK4RAI,-,The Knobby,Ipswich,-27.502263,152.591633,O,70,120,4.5,4WIP,-,47
146.9000,146.3000,VK4RGA,-,Kroombit Tops,Central Qld,-24.356626,150.939698,O,83,1010,4,QGL,91.5,44,49
146.9250,146.3250,VK4RHR,-,Hodgson Range,W Central Highlands,-22.692692,148.033559,O,25,520,-,4WCH,-,49
146.9250,146.3250,VK4RRC,-,Wamuran,Redcliffe,-27.036716,152.823105,O,25,230,5,4RC,-,
146.9500,146.3500,VK4RBD,-,Blackdown Tableland,Blackwater,-23.774068,149.116831,O,100,900,-,4WCH,91.5,49
146.9500,146.3500,VK4RBQ,-,Mt Coot-tha,Brisbane 9/15,-27.463175,152.947118,X,120,-,4,4WIG,91.5,48
146.9500,146.3500,VK4RCA,-,Mt Haren,Cairns,-16.836529,145.61219,O,50,500,4,4HM,-,
146.9500,146.3500,VK4REG,-,Mt Mowbullan,Bunya Mtns,-26.888563,151.600764,O,75,1700,5,4QF,91.5,115
146.9750,146.3750,VK4RRR,-,Mt Seaview,N Central Highlands,-21.440951,148.710799,O,50,-,3,4WCH,-,49
146.9750,146.3750,VK4RLW,-,O'Briens Mtn,Logan/Bdesert,-27.717924,152.879029,O,25,800,5,4OD,91.5,
147.0000,146.4000,VK4RBN,-,Mt Glorious,Brisbane,-27.315287,152.748013,O,60,-,2,4RC,91.5,94
147.0000,146.4000,VK4RCQ,-,Banana Range,Monto,-24.450308,150.314482,O,-,-,-,4RCQ,-,
147.0000,146.4000,VK4RMK,-,Mt Blackwood,Mackay,-21.031638,148.943342,O,25,320,5,4WIM,-,42
147.0500,147.6500,VK4RNX,-,Wilkes Knob,Sunshine Coast,-26.778491,152.913841,O,50,-,3,4QF,123,115
147.0500,147.6500,VK4RTQ,-,Mt Kynoch,Toowoomba,-27.506166,151.955865,O,50,500,3.5,4QF,91.5,115
147.0750,147.6750,VK4RAX,-,Mt Cotton,Brisbane South,-27.620444,153.220818,O,50,-,-,4WSS,-,95
147.0750,147.6750,VK4REP,-,Middlemount,Middlemount 1/16,-22.809551,148.674596,T,83,-,-,4WCH,-,95,49
147.1500,147.7500,VK4RAG,-,Black Mtn,Brisbane WICEN,-26.422383,152.854389,O,80,90,3.5,4BWI,-,95
147.1500,147.7500,VK4RWI,-,portable,Statewide WICEN 6/15,-,-,P,-,-,-,QWN,-,95
147.1750,147.7750,VK4RWM,-,North Ipswich,Ipswich WICEN,-27.590312,152.758288,O,10,-,4,4WIP,-,95
147.2000,146.6000,VK4RBT,-,Wongawallan,Gold Coast,-27.882998,153.259931,O,50,354,3,4WIG,91.5,114
147.2250,147.8250,VK4RGX,-,Springbrook,Gold Coast,-28.234454,153.289775,O,50,-,3,4QF,91.5,115
147.2500,147.8500,VK4RED,-,Dalby,Dalby,-27.210245,151.251976,O,50,338,5,4BAD,91.5,95
147.2750,147.8750,VK4RNL,-,Hervey Bay,N. Sunshine Coast,-25.270368,152.734623,O,25,90,5,4NL,-,95
147.3750,147.9750,VK4RGA,-,Kroombit Tops,Central Qld,-24.356626,150.939698,O,83,1010,4,QGL,91.5,49,95
147.3750,147.9750,VK4RVR,-,The Knobby,Ipswitch,-27.502117,152.591066,O,50,-,3,4QF,91.5,115
147.6250,147.0250,VK4RLB,-,Woodridge,Brisbane South,-27.627411,153.100191,O,25,60,4,4ARN,-,94
147.8000,147.2000,VK4RBG,-,The Hummock,Bundaberg,-24.842477,152.426293,O,20,100,5,4BW,-,94
147.9000,147.3000,VK4RKC,-,Ocean View,Brisbane North,-27.145551,152.820209,O,100,530,5,4KI,-,9,94
147.9500,147.3500,VK4RBR,-,Mt Gravatt,Brisbane,?,?,O,110,80,-,4WIE,-,94
147.9250,147.3250,VK4RBA,-,Rochedale,Brisbane,-27.553116,153.128853,O,-,-,-,4BA,123,
,,,,,,,,,,,,,,{{2M;FM;VK5}}
146.6250,146.0250,VK5RLZ,-,Elizabeth,Adelaide North,-34.742448,138.649074,O,25,73,4,5LZ,-,
146.6500,146.0500,VK5RNC,Ncte,Naracoorte,Naracoorte,-36.979041,140.77045,O,25,80,3,5RNC,-,51
146.6750,146.0750,VK5RSV,-,Willunga Hill,Adelaide South,-35.27319,138.598021,O,50,320,10,5ARC,91.5,52
146.7000,146.1000,VK5RMN,-,The Bluff,Port Pirie,-33.086404,138.162772,O,55,730,5,STX,-,83
146.7250,146.1250,VK5RBK,-,Mt Barker,Mt Barker,-35.070985,138.921859,O,-,-,-,5YFR,-,
146.7500,146.1500,VK5RAC,-,Pillaworta Hill,Lower Eyre Peninsula,-34.392624,135.954064,O,50,325,4.5,5ZEA,-,
146.7750,146.1750,VK5RAH,-,Lobethal,Adelaide Hills,-34.882778,138.87125,O,50,-,8,5NRV,-,
146.8000,146.2000,VK5REP,-,Coolanie,Eyre Peninsula,-33.605438,136.779823,O,60,500,4,WIA,-,
146.8000,146.2000,VK5RSE,MtGrah,Mt Graham,Millicent,-37.524673,140.446816,O,25,230,3,5SR,-,81
146.8250,146.2250,VK5RBV,-,Mt Kitchener,Barossa Valley,-34.571977,139.005935,O,50,580,3.5,5BRC,-,53
146.8500,146.2500,VK5RHO,-,Anstey Hill,Adelaide,-34.841909,138.74945,O,30,410,3.5,5GRC,-,
146.8750,146.2750,VK5RMB,-,Mt Beevor,Murray Bridge,-34.929104,139.034726,O,80,503,5,5NRV,-,
146.9000,146.3000,VK5RMG,MtgVHF,The Bluff,Mount Gambier,-37.725771,140.570599,O,25,100,5,5SR,-,51
146.9250,146.3250,VK5RLH,-,Bumbunga Hill,Central North,-33.903603,138.130403,O,50,413,3,5CZ,-,
146.9750,146.3750,VK5RAE,-,Mt Arden,Port Augusta,-32.151913,137.978806,O,25,845,3,5AJ,-,
147.0000,146.4000,VK5RAD,-,Crafers,Adelaide,-34.998452,138.698773,O,30,610,3.5,5BAR,-,
147.2000,147.8000,VK5RBP,-,portable,Statewide (Scouts) 6/15,-,-,P,50,-,3,5BP,-,
147.3000,147.9000,VK5RWI,-,portable,Statewide WICEN,-,-,O,-,-,-,SWN,-,
147.3250,147.9250,VK5RLD,-,Moorook,Riverland,-34.25,140.333324,O,25,86,5,5BRL,-,
147.3500,147.9500,VK5RBT,-,Willalooka,Bordertown - Keith,-36.416027,140.459673,O,50,125,3,5SR,-,51
147.3750,147.9750,VK5RKN,Kingst,Mt Benson,Kingston,-37.03279,139.811486,O,25,25,3,5SR,-,51
29.6200,147.6750,VK5RSC,-,Mt Terrible,Adelaide,-35.331101,138.501776,O,40,410,3,5ARC,141.3,7
147.6750,29.6200,VK5RSC,-,Mt Terrible,Adelaide,-35.331101,138.501776,O,40,410,3,5ARC,141.3,7
,,,,,,,,,,,,,,{{2M;FM;VK6}}
146.6250,146.0250,VK6RNC,PerNth,Landsdale,Perth North,-31.809094,115.878426,O,50,100,4,6NC,-,
146.6250,146.0250,VK6RTP,TomPrc,Tom Price,Tom Price 1/19,?,?,U,50,1128,5,6DF,-,
146.6500,146.0500,VK6RBY,Bunbry,Harvey,Bunbury,-33.10002,115.926023,O,25,20,5,6BRC,-,
146.6750,146.0750,VK6RNR,NthHmp,Northampton,Northampton,-28.236605,114.65076,O,25,-,-,6RGN,-,
146.7000,146.1000,VK6RAP,PerSE1,Roleystone,Perth South East,-32.100052,116.05155,O,40,360,4,6RRG,-,11
146.7000,146.1000,VK6RWR,WickHm,Wickham,North West,-20.673718,117.130926,O,20,80,-,WNW,-,
146.7500,146.1500,VK6RLM,PerSE2,Roleystone,Perth South East,-32.101613,116.049202,O,20,350,4,6RRG,-,54
146.7750,146.1750,VK6ROO,Geldtn,Geraldton,Geraldton,-28.776359,114.601483,O,50,-,-,6RGN,-,
146.8000,146.2000,VK6RTH,PerNE,Tic Hill,Perth North East,-31.825768,116.063938,O,60,230,4,6RRG,-,19
146.8250,146.2250,VK6RAA,MtBark,Mt Barker,South Coast 6/15,-34.655747,117.647055,X,25,450,5,6SR,-,
146.8500,146.2500,VK6REX,Exmoth,Exmouth,North West,-21.782254,114.150467,O,20,385,3,WNW,-,
146.8500,146.2500,VK6RMH,Mandrh,Mandurah,Peel Region,-32.516664,115.741327,O,25,20,3,6ARG,-,
146.8750,146.2750,VK6RIC,-,portable,Statewide WICEN,-,-,O,-,-,-,WWN,-,
146.9000,146.3000,VK6RMW,MtWilm,Mt William,Mandurah,-32.937985,116.023875,O,20,520,4,6RRG,-,
146.9500,146.3500,VK6RFM,Freo,Bicton,Fremantle,-32.026706,115.787606,O,10,65,3,6RRG,-,
146.9750,146.3750,VK6RSH,-,portable,Statewide,-,-,O,10,-,5,6SH,-,
147.0000,146.4000,VK6RAW,Katnng,Fairfield,Katanning,-33.793985,117.521598,O,25,400,5,6RRG,-,54
147.0000,146.4000,VK6RAK,Kal,Kalgoorlie,Kalgoorlie 10/21,?,?,U,20,400,5,6RM,-,
147.0000,146.4000,VK6RGN,Grldtn,Geraldton,Geraldton,-28.688907,114.66743,O,16,30,5,6RGN,-,
147.0500,147.6500,VK6RRR,-,Kalgoorlie,Kalgoorlie,-30.735091,121.48323,O,40,-,3,6ML,-,
147.0250,147.6250,VK6RPT,-,portable,Statewide,-,-,O,-,-,-,6RRG,-,88
147.0750,147.6750,VK6ROT,Rotto,Rottnest Is,Perth Coast 6/15,-32.000023,115.524824,X,50,55,5,6MHZ,-,19
147.1500,147.7500,VK6RMJ,Manji,Manjimup,Manjimup,-34.220367,115.985338,O,25,150,5,6FN,-,
147.1750,147.7750,VK6REC,Avon C,Wooroloo,Avon Central,-31.792869,116.362398,O,25,300,3,6PK,-,
147.2000,147.8000,VK6RCT,Cataby,Yandan Hill,Cataby,-30.758363,115.598169,O,50,200,4,6RRG,-,19
147.2500,147.8500,VK6RMS,MtSdbk,Mt Saddleback,Boddington,-32.964855,116.450861,O,20,590,4,6RRG,-,11,54
147.2750,147.8750,VK6RAV,-,Hoddy Well,Avon East,-31.631042,116.488988,O,20,80,3,6RRG,-,54
147.3250,147.9250,VK6RKN,Keller,Kellerberrin,Kellerberrin,-31.62278,117.709847,O,25,-,5,6RRG,-,54
147.3500,147.9500,VK6RBN,Busltn,Chapman Hill,Busselton,-33.81447,115.370163,O,30,130,5,6RRG,-,11
,,,,,,,,,,,,,,{{2M;FM;VK7}}
146.6250,146.0250,VK7RMD,-,Mt Duncan,NW Tasmania 3/17,-41.194584,146.035604,X,30,600,5,7NW,-,
146.6500,146.0500,VK7RAF,-,Mt Faulkner,Hobart,-42.792233,147.19151,O,50,900,3,7OB,123,60
146.7000,146.1000,VK7RAD,-,Queens Domain,Hobart,-42.846518,147.310387,O,100,140,3,7OTC,141.3,61
146.7250,146.1250,VK7RVP,-,St Valentines Peak,NW Tasmania,-41.356588,145.755707,O,40,1115,3,7DB,91.5,
146.7500,146.1500,VK7RNW,-,Ulverstone West,Central North Coast,-41.125996,146.120952,O,30,160,5,7NW,-,
146.7750,146.1750,VK7RTV,-,Stowport,Central NW Coast,-41.125805,145.907809,O,70,155,5,TNA,-,
146.8000,146.2000,VK7RAK,-,Gagebrook,NW Hobart,-42.740275,147.266427,O,-,-,-,7HDM,-,
146.8500,146.2500,VK7RHT,-,Snug Tiers,Channel,-43.092652,147.209459,O,100,370,40,7OTC,-,61
146.9000,146.3000,VK7REC,-,Snow Hill,East Coast 6/15,-41.915819,147.835645,X,30,970,-,7TAZ,-,
147.0000,146.4000,VK7RAA,-,Mt Arthur,N Tasmania,-41.274031,147.283039,O,100,1400,5,7TAZ,-,59
147.0750,147.6750,VK7RWC,-,Mt Read,West Coast,-41.844206,145.541521,O,25,1200,3,7RWC,123,59
147.3750,147.9750,VK7RAC,-,Table Cape,NW Tasmania,-40.952269,145.720715,O,40,150,3,7DC,-,
147.8750,146.0750,VK7RCR,-,Lenah Valley,Hobart 6/15,-42.86165,147.277901,X,20,220,2,7ZCR,123,96
147.9750,147.3750,VK7RAD,-,Queens Domain,Hobart,-42.846518,147.310387,O,100,140,40,7OTC,141.3,62
,,,,,,,,,,,,,,{{2M;FM;VK8}}
146.7500,146.1500,VK8RKT,-,Water Tank Hill,Katherine 8/22,-14.44542,132.295828,X,50,143,-,8MA,91.5,
146.9000,146.3000,VK8RDA,-,Darwin,Darwin,-12.480794,130.984368,O,50,86,4,8DA,123,
146.9500,146.3500,VK8RCA,ASpr2,West Gap,Alice Springs,-23.722205,133.856578,O,25,776,3,8AR,91.5,
146.9500,146.3500,VK8RPD,-,Casuarina,Darwin N suburbs,-12.374517,130.879022,O,50,72,4,8DA,123,
147.0000,146.4000,VK8RTE,-,Larrakeyah,Darwin City,-12.455984,130.833233,O,50,59,4,8DA,123,
,,,,,,,,,,,,,,{{70CM;FM;VK2}}
438.0250,433.0250,VK2RHR,HRange,High Range,Southern Highlands,-34.370997,150.335746,O,75,827,2,2JQ,-,
438.0250,433.0250,VK2RNC,SgarL,Mt Sugarloaf,Lower Hunter,-32.890196,151.538894,O,25,442,5,2AWX,-,
438.0250,433.0250,VK2RTW,-,Willans Hill,Wagga 6/17,-35.132713,147.372072,X,25,372,3,2WG,91.5,25
438.0500,433.0500,VK1RGI,Ginini,Mt Ginini,ACT - SE NSW,-35.529552,148.772605,O,150,1770,3.5,1ACA,91.5,67
438.0750,431.0750,VK2RAG,Someb,Somersby,Gosford - Wyong IRLP,-33.360078,151.291215,O,50,320,3,2EH,91.5,31
438.0750,433.0750,VK2RMY,YarahP,Mt Yarrahapinni,Kempsey - Macksville,-30.813912,152.91949,O,50,500,3,2EP,-,
438.1125,432.7125,VK2RBV,-,Sydney,Sydney,-33.864292,151.211542,O,25,200,3,2BV,91.5,
438.1250,433.1250,VK2RHK,-,Wyee,Lake Macquarie,-33.182736,151.493878,O,-,-,-,2HK,-,
438.1250,433.1250,VK2RMU,NowraH,Nowra Hill,Milton - Ulladulla,-34.935597,150.566994,O,50,330,3,2HQ,91.5,
438.1750,433.1750,VK2RMB,THills,Terrey Hills,Sydney,-33.692994,151.222079,O,5,150,3,2MB,91.5,1,82
438.2250,431.2250,VK2RPW,-,Grundy Mtn,Walcha,-31.326561,151.655579,O,50,1463,3,2TOP,-,
438.2750,432.8750,VK2RWS,-,portable,Statewide WICEN,-,-,O,-,-,-,NWN,-,
438.3000,433.3000,VK2RIW,-,Kiama,Kiama WICEN,?,?,O,-,-,-,NWN,-,
438.3250,433.3250,VK2REE,-,Mt Ganghat,Taree-Gloucester,-31.922071,152.18174,O,50,600,5.0,2FRE,-,106
438.3250,433.3250,VK2RGN,MtGray,Mt Gray,Goulburn,-34.758567,149.763092,O,10,-,3.5,2JQ,-,67
438.3250,433.3250,VK2RWM,Warrad,Mt Warraderry,Grenfell 12/17,-33.835834,148.137425,X,25,575,3,2XAQ,-,
438.3750,433.3750,VK2RBM,Lawsn1,Lawson,Blue Mtns,-33.719433,150.431585,O,25,735,4,2HZ,91.5,
438.4250,433.4250,VK2RCN,TelePt,Telegraph Point,Port Macquarie,-31.303962,152.774113,O,25,138,3,2BOR,123,
438.4250,433.4250,VK2RLE,HCote,Engadine,Sydney,-34.040329,151.036165,O,50,110,3,2LE,-,
438.4500,433.4500,VK2RCF,-,Carlingford,Sydney,-33.775653,151.052787,O,-,-,-,NME,91.5,
438.4500,433.4500,VK2RLJ,Prishr,Mt Perisher,Jindabyne,-36.409247,148.386895,O,10,2010,3,2SNO,-,
438.4750,431.4750,VK2RAB,MtCraw,Mt Crawney,Tamworth/Muswellbrook,-31.587699,150.992083,O,50,1401,3,2TOP,-,
438.5250,433.5250,VK2RPM,MdlBro,Middle Brother,Port Macquarie,-31.701304,152.678285,O,10,552,3,2BOR,123,
438.5250,433.5250,VK2RWI,Dural,Dural,Sydney,-33.698742,151.055463,O,25,240,3.5,2WI,-,
438.5500,433.5500,VK2RHC,-,Hurstville,Sydney,-33.96426,151.09395,O,-,-,-,NME,91.5,
438.5750,433.5750,VK2RAY,Albury,Springdale Heights,Albury,-36.022594,146.945887,O,100,330,4,2EWC,118.8,121
438.5750,433.5750,VK2RNW,Kaput,Mt Kaputar,Narrabri - NW NSW,-30.278821,150.152139,O,50,1550,3,2AJ,-,
438.5750,433.5750,VK2ROT,Paddo,Paddington,Sydney,-33.886561,151.229112,O,50,90,3,2BV,91.5,23
438.6000,433.6000,VK2RWI,Dural1,Dural,Sydney 6/15,-33.698742,151.055463,X,20,240,3,2WI,-,
438.6250,433.6250,VK2RGN,-,Goulburn,Goulburn,-34.756348,149.688344,O,-,-,-,2JQ,-,
438.6500,433.6500,VK2RAD,SHill,South Hill,Armidale,-30.544277,151.651755,O,10,1140,3,2IY,-,
438.6500,431.6500,VK2RFG,GHills,Gregory Hills,Campbelltown,-34.04252,150.784785,O,50,222,3,2FG,91.5,
438.6750,433.6750,VK2RNC,SgarL1,Mt Sugarloaf,Lower Hunter,-32.890196,151.538894,O,80,442,5,2AWX,-,
438.6750,433.6750,VK2RPL,Nardi,Mt Nardi,Lismore,-28.542669,153.290154,O,50,850,3,2SRC,123,
438.7250,433.7250,VK2RAO,Cbolas,Mt Canobolas,Orange area 1/23,-33.341852,148.982967,X,50,1417,-,2AOA,-,
438.7250,433.7250,VK2RMP,Maddns,Maddens Plains,Wollongong - Sydney,-34.263384,150.954594,O,50,465,4,2AMW,123,16
438.8000,431.8000,VK2RAG,Someb1,Somersby,Gosford - Wyong WICEN,-33.360078,151.291215,O,50,320,3,2EH,91.5,31
438.8250,431.8250,VK2ROJ,-,Gan Gan Hill,Port Stephens,-32.73155,152.13131,O,62,169,3,2AOJ,91.5,119
438.8500,431.8500,VK2RCA,-,Cangai,Grafton & Clarence Valley,-29.613986,152.479179,O,50,989,3,2CLR,123,
438.8750,431.8750,VK2RAG,Someb2,Somersby,Gosford - Wyong,-33.360078,151.291215,O,25,320,3,2EH,91.5,
439.3000,434.3000,VK2RTG,-,Kariong,Gosford,-33.439521,151.297295,O,10,220,10,2EH,-,
439.3000,434.3000,VK2RCW,Gowan,Gowan,Bathurst/Orange,-33.1466,149.3541,O,50,950,3,2ACW,-,
439.3250,434.3250,VK2RSV,-,Sans Souci,Sydney South EchoLink,-34.005138,151.130597,O,25,25,-,2CL,91.5,64
439.3750,434.3750,VK2RSH,-,Alpine,Mittagong 10/21,?,?,U,-,-,-,2JQ,-,
439.4250,434.4250,VK2RCZ,-,Winmalee,West Sydney,-33.679205,150.601994,O,20,150,3,2CRZ,91.5,
439.4750,434.4750,VK2RGW,-,Glenwood,West Sydney 6/15,-33.747825,150.948529,P,50,175,3,2AO,-,
439.5250,434.5250,VK2RAV,-,portable,Statewide WICEN,-,-,O,10,-,-,NWN,-,
439.5750,434.5750,VK2RMR,-,Mt Riverview,Blue Mtns 1/19,?,?,U,20,360,9,2THE,123,
439.6000,434.6000,VK2RRR,Razor,Razorback,SW Sydney 1/19,?,?,U,-,-,-,2VVV,91.5,
439.6250,434.6250,VK2RFI,-,portable,Hunter region WICEN,-,-,O,25,-,-,NWN,-,
439.6250,434.6250,VK2RWH,Nwcsle,Newcastle,Lower Hunter WICEN,-32.917428,151.515456,O,-,-,-,NWN,-,
439.6500,434.6500,VK2RWB,GwynH,Gwynne Hill,Yarrawonga WICEN,-35.912473,145.884426,O,80,250,5,NWN,123,19
439.7000,434.7000,VK2ROJ,-,Gan Gan Hill,Port Stephens,-32.73155,152.13131,O,26,169,3,2AOJ,91.5,119
439.7500,434.7500,VK2RHP,-,Horsley Park,Sydney,-33.861548,150.854947,O,-,-,-,NME,-,
439.7750,434.7750,VK2RSW,-,Blaxland,Lower Blue Mtns 4/19,?,?,U,-,-,-,2NAB,-,
439.8000,434.8000,VK2RCG,-,Sydney,Sydney City,-33.864292,151.211542,O,-,-,-,NME,91.5,
439.8000,434.8000,VK2RTW,-,Wagga Wagga,Wagga Wagga 6/17,?,?,X,-,-,-,2WG,91.5,
439.8000,434.8000,VK2RWE,-,Waterview Heights,Grafton & Clarence Valley,?,?,O,50,73,3,2CLR,123,120
439.8250,434.8250,VK2RWK,KurraJ,Kurrajong,NW Sydney,-33.523583,150.62693,O,-,-,-,NWN,91.5,80
439.8500,434.8500,VK2RCR,-,Mt Lofty,Clarence Valley,-29.983681,152.654724,O,50,600,3,2VL,123,
439.8500,434.8500,VK2RLH,-,Newbridge,Bathurst 6/17,-33.554857,149.359776,X,-,-,-,2NX,-,
439.8500,434.8500,VK2RNG,Werri,Werrington,Western Sydney 1/19,?,?,U,-,-,-,2THE,-,
439.8750,434.8750,VK2RAH,-,portable,Statewide WICEN,-,-,O,-,-,-,NWN,-,
439.9000,434.9000,VK2RBK,NomTop,Noumea Tops,Bingara/Barraba 6/17,-30.056695,150.52417,X,25,720,-,2DK,-,
439.9000,434.9000,VK2RWI,Dural2,Dural,Sydney 6/15,-33.698742,151.055463,P,25,240,-,2WI,-,
439.9000,434.9000,VK2RWP,WolumP,Wolumla Peak,Bega,?,?,O,-,-,-,2CRN,-,
439.9125,434.9125,VK2RCV,-,Pinebrush,Clarence Valley,?,?,O,50,264,3.5,2YLO,123,
439.9250,434.9250,VK1RWP,-,portable,VK1 WICEN,-,-,O,20,-,-,1ACA,-,
439.9250,434.9250,VK2RAF,-,portable,Statewide WICEN,-,-,O,10,-,-,NWN,-,
439.9250,434.9250,VK2RON,-,North Ryde,Sydney metro,-33.798308,151.126907,O,15,200,1,2GO,-,
439.9500,434.9500,VK1RBM,Issacs,Isaacs Ridge,Canberra Central,-35.365604,149.119038,O,25,790,3,1ACA,91.5,65
439.9500,434.9500,VK2RAG,Someb3,Somersby,Central Coast,-33.360078,151.291215,O,-,313,3,2EH,91.5,
439.9500,434.9500,VK2RDD,-,Burroway Hill,Dubbo,-32.154911,148.556712,O,25,300,-,2UBQ,-,
439.9500,434.9500,VK2RGN,MtGray,Mt Gray,Goulburn,-34.758567,149.763092,O,20,-,3,2JQ,-,
439.9500,434.9500,VK2RSC,Lismor,Parrots Nest,Lismore,-28.857063,153.228511,O,30,185,3,2SRC,123,66
439.9750,434.9750,VK1RWP,-,portable,VK1 WICEN,-,-,O,20,-,-,1ACA,-,
439.9750,434.9750,VK2RNS,Asqith,Hornsby,Northern Sydney,-33.689879,151.100677,O,50,225,3.5,2MA,91.5,32
,,,,,,,,,,,,,,{{70CM;FM;VK3}}
438.0250,433.0250,VK3RBO,-,Specimen Hill,Bendigo,-36.76632,144.244345,O,50,335,-,3WI,-,
438.0250,433.0250,VK3RCC,-,Melbourne,Melbourne City,-37.813822,144.969482,O,160,120,-,3BKR,91.5,76
438.0250,433.0250,VK3RCP,-,Ouyen,Ouyen,-35.069532,142.311608,O,-,-,-,3WI,-,
438.0250,433.0250,VK3REG,MntCan,Mt Cann,East Gippsland 6/15,-37.646728,148.978698,X,40,-,2.5,3EGC,-,36
438.0750,433.0750,VK3RDU,Major,Mt Major,Goulburn Valley,-36.36159,145.694467,O,-,377,-,3WI,-,
438.1250,433.1250,VK3RLE,-,Paps,Mansfield,-37.043399,145.98481,O,50,678,-,3JFK,-,68
438.1250,431.1250,VK3RTA,-,Beulah,Beulah,-35.942707,142.419533,O,50,15,-,3SNR,-,
438.1500,433.1500,VK3RIR,-,Bendigo,Bendigo 6/15,-38.354463,144.953894,T,100,240,3.5,3JED,91.5,
438.1750,431.1750,VK3RBH,-,Geelong,Geelong CBD,-38.152056,144.365668,O,25,30,3,3WI,91.5,6
438.1750,433.1750,VK3RUG,-,Devil's River,Alexandra - Lake Eildon,-37.209266,145.841609,O,100,650,2.5,3JFK,-,68
438.1875,432.7875,VK3RCD,-,Kinglake,Melbourne,-37.515708,145.316285,O,-,600,-,3HF,-,103
438.2250,433.2250,VK3RMS,Olind2,Olinda,Melbourne,-37.857864,145.364227,O,100,600,2.5,3WI,91.5,
438.2750,433.2750,VK3RPW,-,portable,Statewide WICEN,-,-,O,-,-,-,VWN,-,
438.2750,433.2750,VK3RWE,-,portable,Statewide WICEN,-,-,O,-,-,-,VWN,-,
438.2750,433.2750,VK3RWI,-,portable,Statewide WICEN,-,-,O,-,-,-,VWN,-,
438.2750,433.2750,VK3RWR,-,portable,Statewide WICEN,-,-,O,-,-,-,VWN,-,
438.3250,433.3250,VK3RMH,KangGd,Kangaroo Ground,Melbourne,-37.689789,145.222296,O,40,220,3,3CNE,91.5,
438.3500,433.3500,VK3RCU,-,Mt Moliagul,Bendigo,-36.723195,143.646951,O,25,527,3,3WI,91.5,6
438.3750,433.3750,VK3RGS,-,Mt Fatigue,Foster,-38.569862,146.306918,O,-,-,-,3WI,-,
438.3750,433.3750,VK3RHO,Hotham,Mt Hotham,NE Victoria,-36.974128,147.139385,O,-,-,-,3WI,-,
438.3750,433.3750,VK3RLV,Tassie,Mt Tassie,Latrobe Valley,-38.393572,146.55926,O,-,730,-,3WI,-,
438.3750,433.3750,VK3RWG,BawSq,Mt Baw Baw,West Gippsland,-37.838335,146.274831,O,20,1563,2.5,3WI,-,
438.4000,433.4000,VK3RFY,Hillsd,Hillside,Melb EchoL/IRLP,-37.694622,144.728557,O,100,100,3,3HF,91.5,38
438.4250,433.4250,VK3RCU,-,Mt Moliagul,Bendigo,-36.723195,143.646951,O,-,527,-,3WI,-,
438.4500,433.4500,VK3RBW,-,Mt Gisborne,Melbourne West,-37.521839,144.585444,O,150,650,3,3FSK,91.5,103
438.4750,431.4750,VK3RBU,-,Mt Hollowback,Ballarat,-37.440051,143.815479,O,40,-,2.5,3WI,91.5,
